Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
2726030221,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,03/30/2026 08:41:49 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 08:41:49 +01:00,,,,101.790000000,Opening,Trader,,,
2726030222,PRAC-V2-315185-26809886,MCLK6,Filled,Stop,1,Ask,03/30/2026 08:41:49 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 08:54:39 +01:00,,101.640000000,,101.660000000,Closing,Trader,,,
2726030223,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,03/30/2026 08:41:49 +01:00,03/30/2026 00:00:00 -05:00,,03/30/2026 08:54:39 +01:00,,102.200000000,,Undetermined,Trader,OCO Cancelled,,
2726210616,PRAC-V2-315185-26809886,MCLK6,Filled,Stop,1,Ask,03/30/2026 09:38:59 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 09:41:11 +01:00,,101.120000000,,101.130000000,Closing,Trader,,,
2726210615,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,03/30/2026 09:38:59 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 09:38:59 +01:00,,,,101.270000000,Opening,Trader,,,
2726210617,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,03/30/2026 09:38:59 +01:00,03/30/2026 00:00:00 -05:00,,03/30/2026 09:41:11 +01:00,,101.650000000,,Undetermined,Trader,OCO Cancelled,,
2726230967,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Ask,03/30/2026 09:48:59 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 09:48:59 +01:00,,,,101.090000000,Opening,Trader,,,
2726230968,PRAC-V2-315185-26809886,MCLK6,Cancelled,Stop,1,Bid,03/30/2026 09:48:59 +01:00,03/30/2026 00:00:00 -05:00,,03/30/2026 09:52:04 +01:00,101.240000000,,,Undetermined,Trader,OCO Cancelled,,
2726230969,PRAC-V2-315185-26809886,MCLK6,Filled,Limit,1,Bid,03/30/2026 09:48:59 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 09:52:04 +01:00,,,100.710000000,100.710000000,Closing,Trader,,,
2726258136,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Ask,03/30/2026 10:02:30 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 10:02:30 +01:00,,,,101.080000000,Opening,Trader,,,
2726258137,PRAC-V2-315185-26809886,MCLK6,Filled,Stop,1,Bid,03/30/2026 10:02:30 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 10:06:28 +01:00,,101.230000000,,101.220000000,Closing,Trader,,,
2726258138,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Bid,03/30/2026 10:02:30 +01:00,03/30/2026 00:00:00 -05:00,,03/30/2026 10:06:28 +01:00,,100.700000000,,Undetermined,Trader,OCO Cancelled,,
2723839899,PRAC-V2-315185-26809886,MESM6,Filled,Market,3,Ask,03/30/2026 00:26:13 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 00:26:13 +01:00,,,,6375.000000000,Opening,Trader,,,
2723839900,PRAC-V2-315185-26809886,MESM6,Filled,Stop,3,Bid,03/30/2026 00:26:13 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 04:08:39 +01:00,,6405.000000000,,6404.750000000,Closing,Trader,,,
2723839902,PRAC-V2-315185-26809886,MESM6,Cancelled,Limit,3,Bid,03/30/2026 00:26:13 +01:00,03/30/2026 00:00:00 -05:00,,03/30/2026 04:08:39 +01:00,,6360.000000000,,Undetermined,Trader,OCO Cancelled,,
2725952312,PRAC-V2-315185-26809886,MESM6,Filled,Market,1,Bid,03/30/2026 08:18:54 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 08:18:54 +01:00,,,,6427.500000000,Opening,Trader,,,
2725952315,PRAC-V2-315185-26809886,MESM6,Cancelled,Limit,1,Ask,03/30/2026 08:18:54 +01:00,03/30/2026 00:00:00 -05:00,,03/30/2026 08:33:40 +01:00,,6438.250000000,,Undetermined,Trader,OCO Cancelled,,
2725952314,PRAC-V2-315185-26809886,MESM6,Filled,Stop,1,Ask,03/30/2026 08:18:54 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 08:33:40 +01:00,,6423.500000000,,6423.500000000,Closing,Trader,,,
2726080308,PRAC-V2-315185-26809886,MESM6,Filled,Market,1,Bid,03/30/2026 08:59:19 +01:00,03/30/2026 00:00:00 -05:00,03/30/2026 08:59:19 +01:00,,,,6435.250000000,Opening,Trader,,,
