Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2437862223,MBTJ6,04/13/2026 00:10:48 +01:00,04/13/2026 00:17:32 +01:00,70865.000000000,70720.000000000,2.34000,14.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:06:44.1305680,0.2500
2437861456,MGCM6,04/13/2026 00:10:48 +01:00,04/13/2026 00:17:21 +01:00,4676.200000000,4673.600000000,1.24000,26.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:06:33.4899550,0.2500
2437863068,M6EM6,04/13/2026 00:10:48 +01:00,04/13/2026 00:17:44 +01:00,1.170400000,1.170300000,0.52000,1.250000000,1,Short,04/13/2026 00:00:00 -05:00,00:06:55.6740420,0.2500
2437860827,MCLK6,04/13/2026 00:10:48 +01:00,04/13/2026 00:17:13 +01:00,104.930000000,105.090000000,1.04000,16.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:06:24.9440180,0.2500
2437861457,MGCM6,04/13/2026 00:12:17 +01:00,04/13/2026 00:17:21 +01:00,4677.500000000,4673.600000000,1.24000,39.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:05:04.6860460,0.2500
2437862224,MBTJ6,04/13/2026 00:12:17 +01:00,04/13/2026 00:17:32 +01:00,70820.000000000,70720.000000000,2.34000,10.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:05:15.2717370,0.2500
2437863069,M6EM6,04/13/2026 00:12:17 +01:00,04/13/2026 00:17:44 +01:00,1.170500000,1.170300000,0.52000,2.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:05:26.4462490,0.2500
2437860828,MCLK6,04/13/2026 00:12:17 +01:00,04/13/2026 00:17:13 +01:00,104.850000000,105.090000000,1.04000,24.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:04:55.7004130,0.2500
2437861458,MGCM6,04/13/2026 00:13:47 +01:00,04/13/2026 00:17:21 +01:00,4679.500000000,4673.600000000,1.24000,59.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:03:34.6982010,0.2500
2437862225,MBTJ6,04/13/2026 00:13:47 +01:00,04/13/2026 00:17:32 +01:00,70725.000000000,70720.000000000,2.34000,0.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:03:45.2852500,0.2500
2437860829,MCLK6,04/13/2026 00:13:47 +01:00,04/13/2026 00:17:13 +01:00,104.930000000,105.090000000,1.04000,16.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:03:25.8551350,0.2500
2437863070,M6EM6,04/13/2026 00:13:47 +01:00,04/13/2026 00:17:44 +01:00,1.170500000,1.170300000,0.52000,2.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:03:56.4735930,0.2500
2438408619,MCLK6,04/13/2026 00:19:47 +01:00,04/13/2026 01:54:30 +01:00,105.070000000,104.140000000,1.04000,-93.000000000,1,Long,04/13/2026 00:00:00 -05:00,01:34:42.7949220,0.2500
2437882053,MGCM6,04/13/2026 00:20:17 +01:00,04/13/2026 00:21:12 +01:00,4670.500000000,4667.300000000,1.24000,32.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:00:54.8524900,0.2500
2438242995,MBTJ6,04/13/2026 00:20:17 +01:00,04/13/2026 01:25:18 +01:00,70755.000000000,71050.000000000,2.34000,-29.500000000,1,Short,04/13/2026 00:00:00 -05:00,01:05:00.9020740,0.2500
2438163995,M6EM6,04/13/2026 00:20:17 +01:00,04/13/2026 01:10:18 +01:00,1.170100000,1.171400000,0.52000,-16.250000000,1,Short,04/13/2026 00:00:00 -05:00,00:50:00.7483070,0.2500
2438408661,MCLK6,04/13/2026 00:21:17 +01:00,04/13/2026 01:54:30 +01:00,105.300000000,104.140000000,1.04000,-116.000000000,1,Long,04/13/2026 00:00:00 -05:00,01:33:12.7480030,0.2500
2438087348,MGCM6,04/13/2026 00:21:47 +01:00,04/13/2026 01:00:18 +01:00,4666.200000000,4689.300000000,1.24000,-231.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:38:31.4054890,0.2500
2438242996,MBTJ6,04/13/2026 00:21:47 +01:00,04/13/2026 01:25:18 +01:00,70705.000000000,71050.000000000,2.34000,-34.500000000,1,Short,04/13/2026 00:00:00 -05:00,01:03:30.9269710,0.2500
2438163996,M6EM6,04/13/2026 00:21:47 +01:00,04/13/2026 01:10:18 +01:00,1.169900000,1.171400000,0.52000,-18.750000000,1,Short,04/13/2026 00:00:00 -05:00,00:48:30.7993680,0.2500
2438408703,MCLK6,04/13/2026 00:22:47 +01:00,04/13/2026 01:54:30 +01:00,105.270000000,104.140000000,1.04000,-113.000000000,1,Long,04/13/2026 00:00:00 -05:00,01:31:42.9689240,0.2500
2438087349,MGCM6,04/13/2026 00:23:17 +01:00,04/13/2026 01:00:18 +01:00,4668.700000000,4689.300000000,1.24000,-206.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:37:01.3709740,0.2500
2438242997,MBTJ6,04/13/2026 00:23:17 +01:00,04/13/2026 01:25:18 +01:00,70720.000000000,71050.000000000,2.34000,-33.000000000,1,Short,04/13/2026 00:00:00 -05:00,01:02:00.9054520,0.2500
2438163997,M6EM6,04/13/2026 00:23:17 +01:00,04/13/2026 01:10:18 +01:00,1.170000000,1.171400000,0.52000,-17.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:47:00.8234550,0.2500
